Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
a7465651-ae94-45b8-841d-7f6adf95dd86,2026-03-24 17:03:13,Running,,7.83,41:20,5:17,11.36,513.68,208,165,"","",2026-03-24-170313.gpx
357c4835-ea65-45be-b8d3-03130a8cf74b,2026-03-20 17:27:25,Running,,7.92,1:07:22,8:30,7.05,647.0,107,,"","",2026-03-20-172725.gpx
c84177f3-8c0f-44c1-a8c1-279f334a1d34,2026-03-08 16:31:16,Running,,6.27,40:17,6:25,9.34,420.37946,133,156,"","",2026-03-08-163116.gpx
05a747a4-480d-477e-a8f3-5d97121efc71,2026-03-01 15:19:15,Running,,5.05,26:30,5:15,11.43,335.52438,166,181,"","",2026-03-01-151915.gpx
e0db1eb0-80c0-47f2-8374-04ca1f116639,2026-02-21 15:11:27,Running,,5.05,27:55,5:32,10.85,401.0,73,,"","Kändes ok, bättre förra veckan när det var iskallt.. var det därför eller för att jag körde intervallpass i veckan?
Känns ändå ok",2026-02-21-151127.gpx
2cf62827-0afc-4e94-9e01-58c6c4ffbc99,2026-02-15 10:47:57,Running,,5.09,28:34,5:37,10.68,346.2557,119,170,"","",2026-02-15-104757.gpx
fc743ed3-6687-44b3-b4d0-1b6815df4a16,2025-10-16 09:40:45,Running,,5.78,32:59,5:42,10.52,428.561,176,176,"","",2025-10-16-094045.gpx
2dd2c433-4594-40d0-be15-309f45b3f490,2025-10-14 10:44:31,Running,,5.61,33:12,5:55,10.14,461.0,118,,"","Samma runda som i förrgår, kändes bra i kroppen, lite småtrött från rundan innan men ändå bra. Lite fler tankar som flög då jag inte hade AirPods, men trodde inte jag skulle vara 20sek snabbare, känns ändå bra då det kändes lika långsamt som sist",2025-10-14-104431.gpx
ffb8dc70-ee60-4908-a24d-3d52e504d49f,2025-10-12 14:36:05,Running,,6.00,37:49,6:19,9.51,418.443,188,157,"","Kändes rätt bra i kroppen även om det var långsamt, första passet efter 2 veckor med vin, foie gras och matfest ",2025-10-12-143605.gpx
4c89307b-ab3c-4429-b324-cb88c0783a85,2025-09-25 10:11:37,Running,,5.66,32:32,5:45,10.44,394.3029,155,164,"","",2025-09-25-101137.gpx
4b96efd6-1c97-40ed-a776-af788607ab7f,2025-09-23 09:51:14,Running,,5.69,33:28,5:53,10.20,456.0,113,,"","",2025-09-23-095114.gpx
7e4fae40-b6c5-46ee-9b4e-21f7afa900ab,2025-09-19 12:53:17,Running,,11.78,1:14:36,6:20,9.47,825.868,373,161,"","",2025-09-19-125317.gpx
2d16e4c4-8fd4-4e4c-9131-43a7ee312216,2025-09-17 09:03:12,Running,,5.68,34:54,6:09,9.77,373.55368,145,157,"","",2025-09-17-090312.gpx
8256dd7c-dce5-41b1-9a1f-c9aa5d2c1bc1,2025-09-15 10:02:49,Running,,5.68,32:45,5:46,10.41,386.41928,148,166,"","",2025-09-15-100249.gpx
0ed1a745-f18e-4180-90f8-1513d19869d0,2025-09-14 18:11:59,Running,,5.62,32:52,5:51,10.26,388.91022,159,167,"","",2025-09-14-181159.gpx
f7fb11a2-17a4-4d26-b25f-a1bdef2f136a,2025-09-13 16:47:08,Running,,7.06,40:15,5:42,10.52,480.547,185,169,"","",2025-09-13-164708.gpx
7cc17423-32c1-4658-bc30-def31a307602,2025-09-11 15:02:45,Running,,5.89,32:32,5:31,10.87,408.9426,234,178,"","",2025-09-11-150245.gpx
274072bf-cacd-41ae-82df-5c7081d2d4d3,2025-09-09 12:04:08,Running,,12.93,1:20:15,6:12,9.67,909.43427,404,169,"","",2025-09-09-120408.gpx
ae8a1c03-c649-4569-ba8f-8e189cec3de4,2025-09-05 11:33:31,Running,,3.90,20:10,5:10,11.60,262.41806,127,174,"","",2025-09-05-113331.gpx
6aa253fe-caff-47e9-b70a-a1d374d10064,2025-09-03 10:32:51,Running,,3.64,21:09,5:49,10.31,251.31213,104,164,"","",2025-09-03-103251.gpx
4e66379c-ac5c-49f4-8100-f84c732ae186,2025-09-02 15:44:30,Running,,4.29,22:20,5:12,11.53,302.23825,152,178,"","",2025-09-02-154430.gpx
9374cefb-cde6-4a37-a86b-16203e134e88,2025-08-26 08:43:40,Running,,4.59,25:36,5:35,10.75,306.8919,145,170,"","",2025-08-26-084340.gpx
f452f3e5-1f1e-4229-bda7-a5ff65b59cbc,2025-08-25 18:19:42,Running,,4.52,25:43,5:42,10.53,307.29337,112,174,"","",2025-08-25-181942.gpx
cc210314-5fd9-4e42-98d6-3cf5914748c1,2025-08-21 13:09:13,Running,,2.70,14:26,5:20,11.23,210.0,36,,"","",2025-08-21-130913.gpx
ab23f045-e66c-4ca3-bbaf-2fc8a8bbe1b0,2025-08-13 18:39:48,Running,,2.53,15:16,6:01,9.96,200.0,29,,"","",2025-08-13-183948.gpx
a00ac991-10da-4d7b-8a85-aeeb32ebab99,2025-08-13 16:55:44,Running,,2.78,16:09,5:48,10.34,220.0,45,,"","",2025-08-13-165544.gpx
31ce4751-4e14-4353-ad81-96d965f16361,2025-06-04 16:51:31,Running,,3.97,20:17,5:07,11.73,275.76028,155,175,"","",2025-06-04-165131.gpx
9b7c9139-a1fd-4aeb-9e1f-08ce92731ec2,2025-06-02 17:44:13,Running,,5.22,27:12,5:13,11.50,375.02325,240,,"","",2025-06-02-174413.gpx
f4d0e7ab-7834-4fd5-b3d3-2bc63d55370f,2025-04-03 16:40:06,Running,,5.02,26:17,5:14,11.46,343.20776,207,176,"","",2025-04-03-164006.gpx
fce12d71-9c72-48ca-97dd-3513b4e0df9c,2025-03-09 16:59:58,Running,,4.06,22:41,5:35,10.75,277.54248,125,163,"","",2025-03-09-165958.gpx
4c16bd56-de07-4515-bf4b-33b12c1b8135,2024-12-26 12:22:38,Running,,5.89,29:08,4:57,12.13,385.17322,141,171,"","",2024-12-26-122238.gpx
462a523e-08e0-4941-925b-d8d368277feb,2024-12-20 12:16:47,Running,,2.66,17:20,6:31,9.22,174.31392,111,165,"","",2024-12-20-121647.gpx
5c5653de-aaf4-4b20-907d-3ace3fe92b7a,2024-12-20 09:17:08,Running,,2.67,14:53,5:35,10.74,173.7581,63,167,"","",2024-12-20-091708.gpx
e897de83-3d57-4297-8137-60db87f62b0d,2024-10-29 18:07:47,Running,,8.03,1:02:50,7:50,7.67,652.0,99,,"Viktor Morell,","",2024-10-29-180747.gpx
4194ac60-9e3c-4394-bc78-96abadfff902,2024-08-24 12:38:33,Running,,9.19,57:15,6:14,9.63,717.0,132,,"Viktor Morell,","",2024-08-24-123833.gpx
c495ba10-362f-40fc-bdd8-aa92611a5e18,2024-06-29 08:59:54,Running,,4.27,22:06,5:10,11.60,327.0,22,,"","",2024-06-29-085954.gpx
573e90f4-ceed-4f59-9012-f924a9acc09a,2024-06-25 10:19:42,Running,,4.48,22:14,4:57,12.10,333.0,23,,"","",2024-06-25-101942.gpx
438388bd-e9af-43fd-924a-bc2e1cebe5e1,2024-06-14 14:26:37,Running,,4.49,28:29,6:21,9.45,349.0,58,,"","",2024-06-14-142637.gpx
2e2b74ea-c11f-48a9-a038-5889f92ddff3,2024-06-13 11:24:21,Running,,4.18,23:58,5:44,10.48,325.0,49,,"","Tappat typ 15sek per km i lunktempo.. det kommer nog tillbaka snabbt",2024-06-13-112421.gpx
3e3bb8bd-3d02-4694-849d-263be68c65ca,2024-02-21 13:33:11,Running,,0.00,0:00,,,0.0,0,,"","",2024-02-21-133311.gpx
26d23509-b207-4b9f-8ed3-a3668ffcd73f,2024-02-20 11:18:49,Running,,0.00,0:00,,,0.0,0,,"","",
1f759cb1-e43b-4baf-a822-7fd04f3850b3,2023-10-17 10:33:49,Running,,5.26,26:32,5:03,11.89,349.0,0,,"","",
48b922e5-dddf-4ccb-96fb-e43ba1a86498,2023-10-12 18:28:40,Running,,4.87,26:34,5:27,11.01,367.0,53,,"","",2023-10-12-182840.gpx
3e063f26-fa69-4d78-9272-662afd26e94f,2023-10-09 10:59:49,Strength Training,,0.00,43:05,,,131.0,0,,"","",
7dcdad96-9138-460e-9090-efea148cf833,2023-09-26 12:43:24,Strength Training,,0.00,15:54,,,103.0,0,,"","",
f093b469-823d-47c2-becb-e4c41913c2b5,2023-09-25 11:00:54,Strength Training,,0.00,51:01,,,147.0,0,,"","",
65541dfd-6772-4ad9-951c-e20ace75f702,2023-09-19 18:05:17,Running,,5.02,30:34,6:05,9.85,386.0,56,,"","",2023-09-19-180517.gpx
108b7a31-08be-4c3f-a39f-ab3491a8b3a3,2023-08-26 12:27:45,Running,,4.98,25:07,5:03,11.89,376.0,58,,"","",2023-08-26-122745.gpx
376dfa7b-4b24-4f54-b2c7-7b95e055aac7,2023-08-14 15:17:53,Running,,4.65,25:39,5:31,10.87,370.0,58,,"","",2023-08-14-151753.gpx
